Region,Se extiende desde x(cm)=,Hasta x(cm)=,Region con centro en,Veces que fue encontrado en esta region,Probabilidad de encontrarse en la region
1,-2,-1.92,-1.96,12,0.006141249
2,-1.92,-1.84,-1.88,14,0.00716479
3,-1.84,-1.76,-1.8,16,0.008188332
4,-1.76,-1.68,-1.72,20,0.010235415
5,-1.68,-1.6,-1.64,25,0.012794268
6,-1.6,-1.52,-1.56,27,0.01381781
7,-1.52,-1.44,-1.48,31,0.015864893
8,-1.44,-1.36,-1.4,33,0.016888434
9,-1.36,-1.28,-1.32,39,0.019959058
10,-1.28,-1.2,-1.24,41,0.0209826
11,-1.2,-1.12,-1.16,45,0.023029683
12,-1.12,-1.04,-1.08,46,0.023541453
13,-1.04,-0.96,-1,48,0.024564995
14,-0.96,-0.88,-0.92,52,0.026612078
15,-0.88,-0.8,-0.84,50,0.025588536
16,-0.8,-0.72,-0.76,50,0.025588536
17,-0.72,-0.64,-0.68,50,0.025588536
18,-0.64,-0.56,-0.6,50,0.025588536
19,-0.56,-0.48,-0.52,48,0.024564995
20,-0.48,-0.4,-0.44,49,0.025076766
21,-0.4,-0.32,-0.36,49,0.025076766
22,-0.32,-0.24,-0.28,47,0.024053224
23,-0.24,-0.16,-0.2,46,0.023541453
24,-0.16,-0.08,-0.12,46,0.023541453
25,-0.08,0,-0.04,42,0.021494371
26,0,0.08,0.04,45,0.023029683
27,0.08,0.16,0.12,44,0.022517912
28,0.16,0.24,0.2,44,0.022517912
29,0.24,0.32,0.28,46,0.023541453
30,0.32,0.4,0.36,46,0.023541453
31,0.4,0.48,0.44,49,0.025076766
32,0.48,0.56,0.52,50,0.025588536
33,0.56,0.64,0.6,52,0.026612078
34,0.64,0.72,0.68,51,0.026100307
35,0.72,0.8,0.76,52,0.026612078
36,0.8,0.88,0.84,50,0.025588536
37,0.88,0.96,0.92,52,0.026612078
38,0.96,1.04,1,48,0.024564995
39,1.04,1.12,1.08,46,0.023541453
40,1.12,1.2,1.16,43,0.022006141
41,1.2,1.28,1.24,42,0.021494371
42,1.28,1.36,1.32,38,0.019447288
43,1.36,1.44,1.4,33,0.016888434
44,1.44,1.52,1.48,32,0.016376663
45,1.52,1.6,1.56,26,0.013306039
46,1.6,1.68,1.64,25,0.012794268
47,1.68,1.76,1.72,19,0.009723644
48,1.76,1.84,1.8,18,0.009211873
49,1.84,1.92,1.88,15,0.007676561
50,1.92,2,1.96,12,0.006141249
